episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,22629.5535,0,0,0.0,32.9215,114.5,0.87,55.77,8.26,0.0
1,22634.3135,0,0,0.0,31.2223,253.77,0.87,55.95,8.94,0.0
2,22615.1203,0,0,0.0,32.1954,210.24,0.87,55.9,8.62,0.0
3,22627.1158,0,0,0.0,32.425,150.54,0.87,55.92,8.44,0.0
4,22706.7857,0,0,0.0,32.1228,186.03,0.87,56.36,8.57,0.0
5,22534.0989,0,0,0.0,32.0699,158.89,0.87,55.42,8.69,0.0
6,22538.9792,0,0,0.0,31.2034,243.42,0.87,55.6,8.95,0.0
7,22629.3601,0,0,0.0,32.3179,112.13,0.87,55.95,8.67,0.0
8,22679.7414,0,0,0.0,32.2666,359.75,0.87,56.22,8.6,0.0
9,22592.9088,0,0,0.0,30.9703,278.04,0.87,55.75,9.15,0.0
10,22659.1647,0,0,0.0,32.3299,133.78,0.87,56.07,8.59,0.0
11,22585.1093,0,0,0.0,31.7932,325.7,0.87,55.59,8.82,0.0
12,22653.1699,0,0,0.0,32.265,426.66,0.87,56.15,8.51,0.0
13,22520.0058,0,0,0.0,31.1776,341.82,0.87,55.38,8.92,0.0
14,22490.0535,0,0,0.0,31.5817,335.26,0.87,55.21,9.06,0.0
15,22605.2831,0,0,0.0,32.7743,123.22,0.87,55.91,8.5,0.0
16,22594.7555,0,0,0.0,31.9976,204.86,0.87,55.78,8.63,0.0
17,22632.5312,0,0,0.0,32.5197,292.64,0.87,56.13,8.42,0.0
18,22614.5572,0,0,0.0,32.3179,181.16,0.87,55.96,8.43,0.0
19,22539.4309,0,0,0.0,32.4954,194.07,0.87,55.57,8.81,0.0
20,22576.2598,0,0,0.0,31.1923,215.61,0.87,55.67,8.9,0.0
21,22612.3685,0,0,0.0,31.6056,196.95,0.87,55.84,8.89,0.0
22,22535.1429,0,0,0.0,31.0243,287.81,0.87,55.42,8.87,0.0
23,22671.7604,0,0,0.0,31.2583,167.81,0.87,56.11,8.86,0.0
24,22641.0419,0,0,0.0,32.6139,284.68,0.87,56.07,8.52,0.0
25,22561.7342,0,0,0.0,32.8442,241.7,0.87,55.54,8.6,0.0
26,22618.9371,0,0,0.0,31.6198,147.02,0.87,55.89,8.85,0.0
27,22619.2539,0,0,0.0,31.5221,314.88,0.87,56.01,8.73,0.0
28,22615.1656,0,0,0.0,31.5072,148.67,0.87,56.11,8.89,0.0
29,22564.7981,0,0,0.0,31.7354,161.23,0.87,55.77,8.84,0.0
30,22546.8681,0,0,0.0,30.6716,277.42,0.87,55.49,9.06,0.0
31,22549.75,0,0,0.0,32.0203,151.62,0.87,55.65,8.55,0.0
32,22619.7014,0,0,0.0,32.1616,533.43,0.87,55.82,8.59,0.0
33,22611.9335,0,0,0.0,31.6108,171.84,0.87,55.83,8.66,0.0
34,22589.5906,0,0,0.0,31.882,185.35,0.87,55.78,8.71,0.0
35,22645.6195,0,0,0.0,31.5718,448.51,0.87,56.01,8.82,0.0
36,22623.7951,0,0,0.0,31.7686,177.95,0.87,55.94,8.79,0.0
37,22649.9476,0,0,0.0,32.0451,2774.11,0.87,56.23,8.82,0.0
38,22594.1769,0,0,0.0,31.7662,569.76,0.87,55.62,8.96,0.0
39,22653.0962,0,0,0.0,31.3747,321.0,0.87,56.07,8.85,0.0
40,22668.4083,0,0,0.0,32.0538,1174.73,0.87,56.29,8.6,0.0
41,22607.0127,0,0,0.0,31.9232,415.72,0.87,55.59,8.66,0.0
42,22601.9389,0,0,0.0,31.6971,390.0,0.87,55.81,8.73,0.0
43,22643.3739,0,0,0.0,31.6607,318.41,0.87,55.96,8.52,0.0
44,22564.4686,0,0,0.0,31.7653,212.8,0.87,55.48,8.84,0.0
45,22586.4337,0,0,0.0,31.7243,248.67,0.87,55.74,8.83,0.0
46,22687.9356,0,0,0.0,31.8533,308.66,0.87,56.34,8.7,0.0
47,22590.1504,0,0,0.0,32.2114,164.37,0.87,55.81,8.58,0.0
48,22589.6796,0,0,0.0,31.2163,313.57,0.87,55.71,8.61,0.0
49,22689.6371,0,0,0.0,32.2005,153.79,0.87,56.33,8.73,0.0
