episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,365.8258,0,0,0.9905,31.4638,45480.01,0.944169,63.0,18.0,60.0
1,357.0477,0.735207,-0.0001,0.981,27.4981,51615.5,0.881412,58.8,18.2,61.8
2,365.7207,0.055367,0.6789,0.9715,34.3256,365225.61,0.927294,61.2,17.8,59.8
3,363.0064,0.036315,1.6091,0.962,34.3632,159497.19,0.974724,61.6,19.0,59.4
4,371.8013,0.031807,2.6565,0.9525,37.8078,43278.73,0.935419,66.2,18.8,61.6
5,367.1351,0.034089,3.6985,0.943,33.0586,292734.21,0.869514,62.6,19.0,59.6
6,377.3424,0.041228,4.6263,0.9335,38.8159,1050167.02,0.867456,66.0,17.2,61.6
7,376.83,0.048916,5.6674,0.924,33.8636,34928.14,0.888941,64.8,16.2,57.2
8,388.4365,0.055778,6.665,0.9145,39.9534,399495.76,0.939317,70.4,15.4,61.4
9,367.2626,0.07508,7.7251,0.905,34.5299,149581.81,0.948031,64.0,17.6,61.2
10,372.8972,0.098135,8.8468,0.8955,37.2093,155266.25,0.953964,65.2,17.6,59.2
11,372.3007,0.091467,10.0201,0.886,36.0568,98530.71,0.938195,65.0,16.2,59.6
12,368.9461,0.126627,11.1647,0.8765,38.8764,575236.28,0.924893,64.0,19.0,58.0
13,375.117,0.141909,12.2381,0.867,41.0626,36831.9,0.928199,65.4,17.0,61.4
14,370.391,0.173646,13.4566,0.8575,36.5302,105086.19,0.945797,64.0,16.8,61.0
15,379.3455,0.208058,14.748,0.848,41.1441,10522.86,0.966081,66.8,15.6,57.2
16,377.2651,0.23696,15.7514,0.8385,41.3348,3976178.63,0.934528,66.0,16.6,61.8
17,379.8575,0.277894,16.8133,0.829,40.187,74029.34,0.895017,67.0,17.4,59.4
18,370.8816,0.320978,17.8787,0.8195,35.8564,301533.88,0.897184,65.0,17.6,61.8
19,374.4678,0.360949,19.0584,0.81,37.4242,675436.07,0.916649,66.0,18.8,57.8
20,375.6216,0.390212,20.1675,0.8005,35.8854,3579071.04,0.930584,65.4,19.8,59.4
21,376.7082,0.448382,21.3529,0.791,35.945,12449.27,0.872754,65.2,17.8,63.8
22,383.5477,0.522081,22.6233,0.7815,41.7178,18816.69,0.877101,67.6,16.8,57.4
23,375.9172,0.567539,23.8611,0.772,41.476,181962.56,0.934567,66.8,17.8,57.2
24,373.6463,0.597143,25.07,0.7625,40.9334,19833.31,0.964122,64.6,15.8,58.8
25,367.9826,0.603856,26.4253,0.753,33.2685,73725.57,0.976947,63.4,18.4,59.0
26,378.3563,0.696385,27.5923,0.7435,39.5349,71970.09,0.920527,67.2,18.0,60.8
27,377.3115,0.81187,28.8637,0.734,44.9549,69867.92,0.896137,65.8,18.2,59.6
28,388.1738,0.906256,30.0457,0.7245,33.8108,333242.25,0.904592,68.8,14.6,55.0
29,373.0103,1.054373,31.227,0.715,40.2242,1019739.4,0.950303,65.8,18.2,58.0
30,369.1499,1.116266,32.7393,0.7055,31.2453,79910.69,0.940614,64.6,19.0,62.4
31,371.2706,1.145407,34.0752,0.696,42.7417,327655.79,0.899864,64.0,19.8,60.0
32,378.7786,1.193456,35.5755,0.6865,40.1683,325257.5,0.910303,65.8,17.0,62.8
33,386.2371,1.307335,36.8665,0.677,39.5299,140296.35,0.874929,68.2,16.8,54.4
34,375.6033,1.375131,38.1746,0.6675,38.4974,333287.09,0.929204,65.0,18.0,60.6
35,378.0873,1.472988,39.3627,0.658,41.204,47277.96,0.975008,66.8,17.8,60.8
36,377.9562,1.586628,40.6718,0.6485,36.0801,49440.45,0.894363,66.6,16.8,57.4
37,368.901,1.575894,42.0171,0.639,33.5713,1787414.9,0.961683,63.4,17.4,58.2
38,381.0765,1.667527,43.3006,0.6295,35.8595,116412.01,0.932874,67.6,15.6,59.6
39,385.1452,1.730003,44.9231,0.62,36.7016,503823.09,0.890362,68.6,17.2,61.0
40,380.9498,1.818746,46.005,0.6105,43.0749,88994.72,0.943027,67.6,16.4,59.2
41,382.8635,1.881294,47.4284,0.601,39.8152,2279479.15,0.928598,67.8,15.8,59.2
42,372.6995,1.998274,48.7783,0.5915,41.3998,1246019.69,0.926928,64.2,16.8,57.8
43,376.9133,2.091158,50.1252,0.582,41.5074,439093.83,0.979921,67.2,17.6,60.8
44,385.2355,2.250373,51.3101,0.5725,38.504,170653.86,0.860951,68.4,16.0,62.2
45,369.761,2.340851,52.3276,0.563,36.5324,141152.23,0.98492,65.4,17.6,57.4
46,370.589,2.449599,53.4807,0.5535,34.7956,68907.96,1.008366,64.6,18.2,58.8
47,375.3034,2.671207,54.8849,0.544,32.3448,148860.64,0.91021,65.8,17.2,59.8
48,373.7288,2.855562,56.1291,0.5345,39.2094,65417.52,0.960976,65.6,17.8,58.6
49,378.6646,3.000192,57.2018,0.525,38.083,49591.13,0.879962,66.6,17.0,60.2
50,379.7136,3.198058,58.8025,0.5155,39.8517,1307357.99,0.920514,65.0,15.6,58.6
51,377.2096,3.123865,59.8329,0.506,43.9969,117317.08,0.899717,65.6,17.6,57.0
52,393.7605,3.42681,61.1878,0.4965,56.9114,10098.69,0.957881,69.6,13.2,58.4
53,373.4762,3.516718,62.4753,0.487,35.8636,133455.35,0.821012,63.4,17.6,56.0
54,375.3696,3.630058,63.4547,0.4775,26.9677,465529.48,0.986232,65.8,16.2,60.0
55,380.6022,3.758917,64.514,0.468,36.9945,272629.44,0.958272,68.6,17.0,53.4
56,388.6062,4.002167,65.8006,0.4585,45.9621,47660.97,0.962419,69.8,14.8,58.8
57,377.2218,4.127936,67.0241,0.449,38.101,1564556.78,0.904131,65.8,16.2,58.2
58,394.6096,4.145116,67.9737,0.4395,46.1531,15633.91,0.926103,72.2,15.6,58.4
59,383.6604,4.316034,69.3011,0.43,54.4467,111988.51,0.961465,67.8,15.2,56.4
60,390.6219,4.321974,70.7951,0.4205,42.3909,83756.92,0.92092,70.2,15.0,58.6
61,373.7318,4.59048,72.5878,0.411,35.2184,178553.27,0.992609,67.2,19.2,57.4
62,380.3838,4.796666,74.2231,0.4015,50.7379,198995.18,0.955157,67.2,16.2,57.8
63,391.1411,5.086205,75.7901,0.392,44.3,1224968.68,0.893909,70.2,15.4,57.0
64,383.5453,5.086732,77.2258,0.3825,38.4779,2448763.55,0.919843,68.4,16.2,60.0
65,386.5873,5.427359,78.6666,0.373,52.873,732534.5,0.949347,69.8,16.2,58.8
66,377.6747,5.431417,80.307,0.3635,39.6226,101939.72,0.876589,65.0,15.6,55.4
67,381.0148,5.449289,81.4805,0.354,39.6051,2696190.5,0.956361,67.8,15.8,55.4
68,386.1625,5.466362,82.6339,0.3445,33.7689,23762.6,0.859618,69.6,16.8,58.8
69,380.2367,5.673569,83.7251,0.335,47.4147,94049.14,0.923296,66.2,16.6,61.8
70,372.1444,6.048399,85.064,0.3255,31.285,26771.78,0.996081,65.0,16.4,57.2
