episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,4376.788,0.072,5.1259,0.886,35.5614,44.75,0.932122,62.15,17.87,73.18
1,4547.706,0.09457,14.7626,0.772,46.7791,27.19,0.930431,66.77,16.42,73.6
2,4617.0473,0.198455,23.7723,0.658,46.7164,22.37,0.897242,68.1,16.02,71.93
3,4776.9466,0.327156,32.125,0.544,65.7879,15.49,0.961403,72.77,14.43,66.77
4,4852.5818,0.459973,39.2408,0.43,75.2036,15.12,0.979061,74.93,14.37,64.52
5,4898.258,0.569268,46.3538,0.316,71.7508,10.88,0.949953,76.17,14.0,60.7
6,4770.6636,0.747709,52.2825,0.202,52.8346,18.58,0.899938,72.18,14.8,61.08
7,4942.8199,0.771064,57.0904,0.088,55.1654,12.02,0.939999,77.87,13.63,57.45
8,4984.2132,0.863197,60.8624,0.05,61.3289,9.43,0.952457,78.52,13.22,49.58
9,4903.776,0.910069,64.7483,0.05,52.3142,14.72,0.92269,76.82,13.9,53.55
10,4920.1777,0.979412,67.1586,0.05,56.0314,11.8,0.986764,77.05,13.38,55.4
11,4961.7555,0.933788,68.1798,0.05,48.5317,9.37,0.894447,78.02,13.27,51.38
12,4787.8862,0.95017,70.3083,0.05,42.1717,12.91,0.943831,73.72,15.67,55.78
13,4888.4861,0.973129,71.6501,0.05,50.6153,10.55,0.923802,76.6,15.05,50.38
14,4893.3144,0.924441,72.1862,0.05,45.4085,10.96,0.925991,76.18,14.05,47.98
15,4897.9199,0.894104,73.5009,0.05,44.3963,13.59,0.803414,75.38,14.72,51.9
16,4945.1628,0.897411,74.7377,0.05,55.0573,9.01,0.890372,77.18,13.72,50.28
17,4879.1809,0.863855,76.3512,0.05,47.2022,11.11,0.923191,75.82,14.58,50.0
18,4840.3994,0.904111,77.9803,0.05,54.9987,11.97,0.994475,75.22,14.57,51.42
19,4883.4615,0.920932,79.0929,0.05,53.9143,12.29,0.940929,76.03,14.17,50.37
20,4895.5427,1.008237,79.9646,0.05,53.5296,9.53,0.926839,75.93,13.08,47.28
21,4835.3375,0.976495,81.2144,0.05,39.8844,9.72,0.854603,73.98,14.6,51.77
22,4878.3605,0.92493,81.4499,0.05,54.3758,11.31,0.966399,76.2,14.23,46.38
23,4941.711,0.92127,81.9277,0.05,46.1645,12.73,0.904261,77.63,13.37,49.82
24,4819.1704,0.922937,82.5898,0.05,37.8564,10.95,0.930163,74.73,15.13,50.38
25,4873.9297,0.883827,83.4827,0.05,45.5686,9.4,1.017678,76.7,14.37,50.52
26,4890.4737,0.87442,83.6909,0.05,45.5204,8.56,0.811472,75.0,14.12,48.78
27,4863.2703,0.807002,83.0646,0.05,45.7274,11.3,0.917179,75.65,14.77,47.7
28,4930.8605,0.719496,82.3351,0.05,51.4475,9.38,0.917747,77.35,13.87,49.55
29,4895.106,0.756875,83.1507,0.05,45.5585,11.84,0.878857,76.33,14.37,48.12
30,4845.6084,0.673798,83.3629,0.05,41.6396,14.23,0.835437,74.8,14.73,48.53
31,4803.8647,0.693224,83.9071,0.05,44.9802,12.06,1.017275,74.82,14.83,48.42
32,4912.8696,0.650713,83.4933,0.05,54.3338,11.66,0.970856,77.03,13.7,47.18
33,4869.6112,0.615664,84.3693,0.05,47.3631,13.72,0.855813,75.17,14.13,47.78
34,4955.6871,0.59332,83.9851,0.05,58.5706,10.95,0.967624,78.08,12.13,44.87
35,4911.2829,0.541196,84.4072,0.05,51.8618,13.55,0.902227,75.92,13.6,48.18
36,4838.5777,0.563966,84.5011,0.05,36.2286,13.28,0.884649,74.38,14.28,47.48
37,5000.1868,0.503504,84.9445,0.05,53.7349,7.15,0.83718,78.8,13.73,47.67
38,4955.5861,0.476609,84.2818,0.05,46.6377,9.16,0.918174,78.22,13.62,46.78
39,5028.8178,0.483596,85.1949,0.05,60.0911,10.36,0.920808,80.25,12.17,44.97
40,5023.8536,0.484621,85.76,0.05,54.8603,8.02,0.848897,78.82,12.65,45.82
41,4851.1564,0.462572,85.3007,0.05,43.0936,13.84,0.927074,74.88,14.03,47.62
42,4938.0133,0.429478,86.5709,0.05,47.3925,8.49,0.955175,78.4,14.17,45.02
43,4931.0556,0.439098,86.1209,0.05,51.0958,12.2,0.982052,77.57,13.03,44.45
44,5065.3131,0.422449,86.1971,0.05,55.4854,8.11,0.881102,79.83,12.12,48.27
45,5013.0548,0.383656,86.6624,0.05,50.1141,7.52,0.908629,78.88,11.93,46.85
46,4902.7174,0.396018,87.8013,0.05,40.7926,7.43,0.981745,76.48,13.33,45.72
47,4893.7121,0.355979,87.7962,0.05,47.4033,11.49,0.897301,76.2,13.43,43.43
48,4954.7024,0.346413,87.728,0.05,52.545,13.08,0.919373,78.07,13.28,46.47
49,4823.8349,0.326229,86.667,0.05,42.8708,13.36,0.919581,73.8,13.9,45.17
50,4934.7083,0.310481,85.5852,0.05,55.0164,14.06,0.8895,76.0,13.13,43.85
51,4873.6761,0.310939,85.3868,0.05,39.6466,31.74,0.842282,75.18,14.07,44.95
52,5019.1541,0.28279,85.4981,0.05,55.6136,7.72,0.918199,79.03,12.97,45.25
53,4883.387,0.266508,85.3911,0.05,44.9946,11.54,0.924536,75.43,13.65,42.53
54,4929.3335,0.254283,86.1003,0.05,55.0441,16.33,0.942309,77.6,13.73,43.72
55,4882.5798,0.24654,85.3776,0.05,37.9697,12.22,0.826732,75.17,14.27,39.18
56,4962.5956,0.232813,85.103,0.05,43.6102,7.64,0.886423,77.52,13.23,43.5
57,4894.8293,0.213271,85.1148,0.05,54.3036,9.79,1.093887,76.87,12.77,42.83
58,4951.823,0.21389,84.7649,0.05,45.1927,7.2,0.869611,77.7,13.2,42.75
59,4944.2821,0.208586,84.7674,0.05,49.7803,11.91,0.872404,77.1,13.18,40.82
60,4957.0236,0.205738,84.9766,0.05,45.9559,10.33,0.83794,76.55,12.43,41.33
61,4938.5892,0.200363,85.5384,0.05,51.6082,12.38,0.9797,78.12,13.55,41.08
62,4891.7649,0.176308,84.9052,0.05,43.0759,9.97,0.945294,76.75,14.07,38.95
63,4851.0071,0.180954,85.5419,0.05,37.6312,10.05,0.962248,75.77,14.35,39.05
64,4947.4982,0.171422,85.6695,0.05,46.1064,16.19,0.828907,76.77,13.45,42.92
65,4986.9142,0.168804,85.0724,0.05,58.6628,9.54,0.843591,77.2,12.53,39.4
