episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,181.2732,0,0,0.9952,30.9667,24198.47,0.927523,63.2,18.8,62.0
1,181.5035,0,0,0.9905,31.6789,450179.7,0.927512,62.0,18.8,58.4
2,184.9798,0,0,0.9858,30.8907,83305.69,0.916586,63.6,17.2,60.4
3,181.1858,0.876493,-0.0052,0.981,31.6286,22157.33,0.943468,61.2,16.8,61.2
4,183.9014,0.419525,0.4198,0.9762,34.5672,317183.6,0.875193,64.0,21.6,60.8
5,189.0491,0.026971,0.8604,0.9715,39.8824,43605.25,1.009092,68.0,17.2,56.8
6,186.895,0.160847,2.0749,0.9667,37.223,2167919.61,0.944153,63.2,16.8,58.8
7,185.0185,0.086139,2.1221,0.962,46.6384,96221.14,0.919168,63.6,16.8,58.4
8,179.7047,0.126166,3.369,0.9573,32.708,13411.1,0.930726,60.0,20.4,59.2
9,192.6446,0.068515,3.3987,0.9525,35.464,745519.54,0.854589,69.2,16.4,57.6
10,183.5527,0.123471,4.5906,0.9477,38.4284,29280.97,0.89272,63.6,19.6,59.2
11,186.1661,0.08922,4.6069,0.943,34.4301,298536.28,0.945604,62.8,15.2,60.4
12,187.277,0.174227,5.8242,0.9383,30.6903,121670.8,0.938521,64.0,17.2,64.0
13,189.7179,0.113707,5.8461,0.9335,33.299,67088.22,0.880103,66.4,16.8,61.6
14,189.0254,0.221358,7.119,0.9287,37.4923,972596.94,0.934835,67.2,17.6,60.0
15,188.1243,0.160626,7.1399,0.924,47.0384,33000.29,0.963205,66.4,16.8,62.0
16,182.6609,0.255568,8.3993,0.9193,35.2132,50958.32,0.955661,61.6,15.2,60.8
17,181.9196,0.208975,8.4086,0.9145,38.56,171241.91,0.93148,62.0,20.0,62.8
18,181.6241,0.351534,9.6752,0.9098,36.3239,44202.16,0.971668,61.2,17.2,61.2
19,184.5766,0.296624,9.6877,0.905,46.4768,2482443.05,0.968594,63.2,17.6,60.8
20,184.0145,0.407297,10.9904,0.9002,29.0076,11285.68,0.950405,64.4,16.8,59.6
21,188.1527,0.372151,10.998,0.8955,39.0263,100427.53,0.991556,67.2,17.6,60.8
22,183.5386,0.523763,12.3599,0.8908,37.9913,264758.4,0.863499,62.0,18.8,62.0
23,190.392,0.408752,12.3883,0.886,39.6823,391459.06,0.919887,68.0,16.4,56.8
24,182.1193,0.571089,13.7546,0.8812,34.8479,9690.84,0.926423,62.0,18.4,61.6
25,185.6896,0.523738,13.7722,0.8765,39.0679,11378.04,0.914133,65.2,18.4,60.4
26,183.813,0.731954,15.2197,0.8718,30.7167,18168.56,1.007368,63.2,19.2,60.8
27,190.6024,0.764686,15.2216,0.867,38.336,49810.7,0.900496,67.2,17.2,60.4
28,189.7638,0.92181,16.8012,0.8622,42.2776,73605.78,0.908695,66.0,14.8,62.8
29,185.0001,0.773177,16.8212,0.8575,41.8317,570410.28,0.990007,63.6,15.2,66.8
30,186.9327,1.099532,18.3596,0.8528,39.2054,50773.85,0.87646,63.6,20.4,64.0
31,185.3128,1.17232,18.3672,0.848,31.4581,53043.95,0.907756,65.2,18.4,59.2
32,189.1662,1.224535,20.0743,0.8433,43.3944,32082.13,0.918377,66.8,17.2,60.4
33,185.2952,1.17253,20.088,0.8385,30.182,92593.94,0.869258,63.2,18.0,62.0
34,186.0295,1.555791,21.8141,0.8337,31.2312,97291.79,1.02077,65.2,18.0,57.2
35,183.937,1.551075,21.8289,0.829,40.1099,29578.88,0.91453,62.4,17.6,62.4
36,187.057,1.666801,23.4676,0.8243,30.501,45612.45,0.894902,64.4,18.0,57.2
37,191.3766,1.688977,23.469,0.8195,33.4661,15329.71,0.878063,66.8,17.2,60.0
38,187.336,2.246427,25.1202,0.8147,29.5134,315591.31,0.907133,64.4,17.6,61.2
39,185.9221,2.026521,25.1414,0.81,45.9423,77882.75,0.895945,63.2,16.4,61.6
40,188.4225,2.055686,26.8854,0.8053,38.3323,446112.77,0.947684,65.6,17.2,63.6
41,188.2486,1.887093,26.8995,0.8005,25.9786,89397.07,0.844789,66.8,19.6,61.2
42,183.5797,2.382035,28.631,0.7957,31.9617,52640.7,0.959229,63.6,18.4,60.4
43,186.3343,2.116678,28.6558,0.791,36.851,1258150.59,0.864118,64.8,19.6,60.4
44,189.4336,2.448787,30.3995,0.7863,38.9307,70105.2,0.889461,65.6,16.4,60.4
45,191.4107,2.234335,30.4328,0.7815,54.2127,38055022.32,0.91087,66.8,16.4,60.8
46,183.5762,3.140273,32.2814,0.7768,28.7338,249709.02,0.8942,61.6,18.8,58.0
