episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,14502.7495,0,0,1.0,34.0389,1683378.68,0.929889,61.82,18.31,71.11
1,14506.7614,0,0,1.0,33.8572,1032260.61,0.92325,61.77,18.57,71.54
2,14494.9282,0,0,1.0,34.386,1094997.12,0.929643,61.83,18.58,70.84
3,14558.7571,0,0,1.0,34.9381,1206015.2,0.929165,62.18,18.01,71.35
4,14477.8876,0,0,1.0,34.247,869124.85,0.92988,61.72,18.65,70.91
5,14471.2874,0,0,1.0,34.6592,1843674.87,0.94022,61.76,18.41,71.66
6,14508.7303,0,0,1.0,33.9629,1418636.26,0.927492,62.0,18.45,71.14
7,14557.1123,0,0,1.0,35.1343,709930.58,0.929828,62.32,18.46,71.22
8,14436.9059,0,0,1.0,33.2218,2366821.95,0.924325,61.3,18.66,71.83
9,14535.3343,0,0,1.0,34.3455,1446220.95,0.935746,62.24,18.34,71.69
10,14512.1138,0,0,1.0,34.1969,943749.53,0.937973,62.13,18.57,71.29
11,14514.5649,0,0,1.0,34.0945,1057098.6,0.928842,61.84,18.46,71.28
12,14523.3651,0,0,1.0,34.4037,4149095.12,0.935684,61.94,18.4,71.33
13,14521.9977,0,0,1.0,35.4987,2160302.48,0.937288,62.21,18.63,71.62
14,14491.1251,0,0,1.0,33.6351,1464543.5,0.932803,61.73,18.36,71.34
15,14514.0157,0,0,1.0,35.0266,1261237.51,0.936247,61.97,18.29,70.92
16,14475.7147,0,0,1.0,34.0613,909719.0,0.923067,61.39,18.57,70.78
17,14540.0704,0,0,1.0,34.8519,1920853.01,0.931367,61.9,18.54,71.0
18,14499.6126,0,0,1.0,34.2409,2269724.42,0.940951,61.9,18.58,71.58
19,14534.4889,0,0,1.0,34.4018,1087667.72,0.944201,62.16,18.48,71.26
20,14545.0455,0,0,1.0,35.2953,4263271.3,0.931992,62.11,18.29,70.85
21,14492.5471,0,0,1.0,34.0518,933685.12,0.931131,61.68,18.58,71.71
22,14464.1149,0,0,1.0,33.4281,1751922.74,0.92901,61.61,18.4,70.68
23,14470.1362,0,0,1.0,34.1671,1747833.24,0.928547,61.66,18.52,71.02
24,14504.4337,0,0,1.0,34.6284,1804652.26,0.930341,61.81,18.21,71.81
25,14458.0317,0,0,1.0,33.1555,3360924.72,0.929923,61.48,18.94,71.08
26,14552.838,0,0,1.0,34.895,1355644.91,0.93516,62.19,18.48,71.25
27,14528.7167,0,0,1.0,33.9005,2343085.86,0.933751,62.02,18.19,71.34
28,14490.6415,0,0,1.0,33.8512,2953914.83,0.935414,61.8,18.62,71.31
29,14508.1135,0,0,1.0,33.9101,5531321.19,0.935025,62.0,18.28,71.32
30,14534.1384,0,0,1.0,34.2068,3728587.32,0.9301,62.06,17.94,71.31
31,14541.9749,0,0,1.0,36.1936,1449803.02,0.933755,62.24,18.45,71.35
32,14518.5749,0,0,1.0,35.0662,753936.29,0.934182,61.91,18.45,71.22
33,14462.4855,0,0,1.0,33.5714,951220.42,0.936308,61.44,18.47,71.31
34,14482.1364,0,0,1.0,33.8481,1936646.11,0.927459,61.75,18.68,71.62
35,14415.4289,0,0,1.0,33.9248,2260485.55,0.92915,61.1,18.87,70.77
36,14575.3742,0,0,1.0,35.6364,2918431.09,0.934343,62.47,18.11,71.41
37,14483.2637,0,0,1.0,34.4793,1917641.83,0.925853,61.72,18.66,71.47
38,14465.6554,0,0,1.0,34.1715,2264129.17,0.943444,61.68,18.61,71.08
39,14547.3442,0,0,1.0,34.603,2266923.94,0.920029,62.07,18.48,71.66
40,14450.9583,0,0,1.0,33.2431,4558497.3,0.936687,61.59,18.47,71.69
41,14516.5548,0,0,1.0,34.4783,1885490.09,0.932827,62.03,18.16,71.23
42,14515.8077,0,0,1.0,34.6349,2421661.26,0.932565,61.98,18.52,71.53
43,14450.1844,0,0,1.0,33.5551,5707665.03,0.938268,61.41,18.59,71.16
44,14551.5313,0,0,1.0,34.5699,4531327.26,0.932637,62.21,18.44,71.16
45,14511.6505,0,0,1.0,33.6573,1098427.26,0.933764,62.02,18.32,71.36
46,14475.8779,0,0,1.0,34.3749,687652.67,0.933677,61.78,18.58,71.78
47,14448.8054,0,0,1.0,33.8103,3607567.18,0.93452,61.42,18.39,71.04
48,14523.6677,0,0,1.0,34.9842,1198752.07,0.932044,62.01,18.75,71.42
49,14482.0591,0,0,1.0,34.2229,1932327.95,0.931482,61.79,18.73,70.95
50,14500.8105,0,0,1.0,34.0621,1239286.68,0.932151,61.83,18.49,71.33
51,14477.0863,0,0,1.0,33.997,3075814.77,0.926251,61.68,18.53,70.78
52,14495.5915,0,0,1.0,33.2073,2598269.09,0.930275,61.62,18.21,71.0
