episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,25891.0321,0,0,0.0,25.3368,941.89,0.816228,81.49,7.03,0.0
1,25808.3313,0,0,0.0,24.8406,510.29,0.816228,80.81,7.49,0.0
2,25840.1152,0,0,0.0,24.9075,158.31,0.816228,81.24,7.38,0.0
3,25840.168,0,0,0.0,24.9836,578.17,0.816228,81.33,7.35,0.0
4,25864.9604,0,0,0.0,25.299,1041.49,0.816228,81.27,7.06,0.0
5,25860.2199,0,0,0.0,24.8963,219.57,0.816228,81.19,7.16,0.0
6,25846.3155,0,0,0.0,25.1335,208.89,0.816228,81.19,7.3,0.0
7,25887.5617,0,0,0.0,25.3279,171.71,0.816228,81.47,7.0,0.0
8,25942.9087,0,0,0.0,24.6615,168.91,0.816228,81.78,7.1,0.0
9,25826.6556,0,0,0.0,25.0413,237.7,0.816228,81.09,7.17,0.0
10,25861.5552,0,0,0.0,24.8755,261.2,0.816228,81.41,7.26,0.0
11,25869.1533,0,0,0.0,24.8436,309.08,0.816228,81.29,7.09,0.0
12,25796.1954,0,0,0.0,24.4771,233.13,0.816228,81.05,7.57,0.0
13,25824.1959,0,0,0.0,25.0741,192.58,0.816228,81.16,7.15,0.0
14,25806.1253,0,0,0.0,25.2344,189.67,0.816228,80.91,7.08,0.0
15,25834.8297,0,0,0.0,24.5766,850.16,0.816228,81.12,7.34,0.0
16,25871.9059,0,0,0.0,24.9479,235.36,0.816228,81.45,7.45,0.0
17,25830.4961,0,0,0.0,24.5142,230.18,0.816228,81.22,7.3,0.0
18,25859.4095,0,0,0.0,24.9425,224.11,0.816228,81.23,7.14,0.0
19,25817.3057,0,0,0.0,24.6887,357.8,0.816228,81.07,7.37,0.0
20,25804.1044,0,0,0.0,24.8449,249.72,0.816228,80.83,7.34,0.0
21,25875.896,0,0,0.0,24.5976,245.17,0.816228,81.32,7.37,0.0
22,25820.2139,0,0,0.0,24.8166,231.99,0.816228,81.08,7.32,0.0
23,25843.9825,0,0,0.0,25.2847,297.91,0.816228,81.21,7.21,0.0
24,25892.5431,0,0,0.0,24.5301,485.05,0.816228,81.48,7.29,0.0
25,25817.1028,0,0,0.0,24.5213,259.79,0.816228,81.08,7.54,0.0
26,25774.8347,0,0,0.0,24.7973,272.06,0.816228,80.94,7.44,0.0
27,25827.9902,0,0,0.0,25.5322,149.27,0.816228,81.01,7.02,0.0
28,25791.0372,0,0,0.0,24.7811,2444.11,0.816228,80.93,7.38,0.0
29,25845.4907,0,0,0.0,25.147,402.84,0.816228,81.2,7.1,0.0
30,25851.9938,0,0,0.0,25.1332,170.04,0.816228,81.16,7.05,0.0
31,25866.5022,0,0,0.0,25.0665,258.29,0.816228,81.34,7.23,0.0
32,25849.6935,0,0,0.0,25.3688,191.64,0.816228,81.2,7.03,0.0
33,25833.3241,0,0,0.0,25.1804,366.43,0.816228,81.15,7.12,0.0
34,25851.0143,0,0,0.0,25.4558,463.43,0.816228,81.29,7.1,0.0
35,25921.0976,0,0,0.0,25.4483,343.43,0.816228,81.62,7.05,0.0
36,25866.8098,0,0,0.0,25.3337,341.43,0.816228,81.28,7.09,0.0
37,25837.4013,0,0,0.0,24.9626,162.39,0.816228,81.16,7.21,0.0
38,25897.4111,0,0,0.0,25.0629,476.21,0.816228,81.35,7.12,0.0
39,25842.8292,0,0,0.0,25.1856,2610.73,0.816228,81.24,6.99,0.0
40,25794.6109,0,0,0.0,25.1238,264.21,0.816228,80.92,7.32,0.0
41,25869.3788,0,0,0.0,24.9137,231.28,0.816228,81.3,7.26,0.0
42,25897.3076,0,0,0.0,26.141,1083.93,0.816228,81.43,6.81,0.0
43,25846.6299,0,0,0.0,24.4427,322.34,0.816228,81.16,7.3,0.0
44,25822.0876,0,0,0.0,25.1634,205.42,0.816228,81.02,7.13,0.0
45,25828.4196,0,0,0.0,24.5225,352.88,0.816228,81.16,7.37,0.0
46,25797.8075,0,0,0.0,25.2314,202.22,0.816228,81.05,7.31,0.0
47,25913.4304,0,0,0.0,25.5504,516.0,0.816228,81.59,6.98,0.0
48,25877.1553,0,0,0.0,25.4989,795.19,0.816228,81.27,7.01,0.0
49,25907.5269,0,0,0.0,25.4823,171.03,0.816228,81.53,7.12,0.0
