episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,17279.5291,0,0,0.0,23.9698,5.51,0.816228,81.75,7.41,0.0
1,17160.0625,0,0,0.0,23.9611,5.77,0.816228,80.42,7.8,0.0
2,17069.3362,0,0,0.0,23.9981,6.34,0.816228,79.93,8.13,0.0
3,17018.0621,0,0,0.0,24.1788,6.63,0.816228,79.39,7.98,0.0
4,17352.3859,0,0,0.0,24.5995,5.02,0.816228,82.42,7.06,0.0
5,17259.4456,0,0,0.0,26.3139,5.15,0.816228,81.47,6.46,0.0
6,17164.6906,0,0,0.0,25.9114,6.3,0.816228,80.39,6.84,0.0
7,17237.5761,0,0,0.0,25.0692,4.7,0.816228,81.39,7.02,0.0
8,17157.665,0,0,0.0,24.1957,5.47,0.816228,80.5,7.74,0.0
9,17227.2283,0,0,0.0,24.3124,6.0,0.816228,81.17,7.4,0.0
10,17249.9113,0,0,0.0,25.7144,5.33,0.816228,81.47,6.89,0.0
11,17200.9479,0,0,0.0,24.6585,6.05,0.816228,81.16,7.47,0.0
12,17230.2924,0,0,0.0,25.84,5.98,0.816228,81.12,6.95,0.0
13,17280.5363,0,0,0.0,22.6908,4.93,0.816228,81.71,8.04,0.0
14,17259.7132,0,0,0.0,26.2844,5.69,0.816228,81.21,6.47,0.0
15,17301.6997,0,0,0.0,25.4668,5.11,0.816228,81.8,7.04,0.0
16,17235.4914,0,0,0.0,24.9319,5.31,0.816228,81.51,7.33,0.0
17,17127.6024,0,0,0.0,25.8194,5.34,0.816228,80.38,6.93,0.0
18,17236.8776,0,0,0.0,24.1606,5.37,0.816228,81.31,7.5,0.0
19,17228.5425,0,0,0.0,23.3111,4.79,0.816228,81.36,7.67,0.0
20,17296.0379,0,0,0.0,27.7195,5.21,0.816228,81.74,6.33,0.0
21,17248.58,0,0,0.0,26.8217,5.13,0.816228,81.19,6.38,0.0
22,17180.7669,0,0,0.0,24.5786,6.47,0.816228,80.6,7.39,0.0
23,17195.1321,0,0,0.0,25.7915,5.68,0.816228,80.83,6.91,0.0
24,17313.1479,0,0,0.0,26.1712,5.71,0.816228,82.03,6.77,0.0
25,17321.7541,0,0,0.0,25.3659,5.04,0.816228,81.98,7.07,0.0
26,17349.1765,0,0,0.0,24.7929,4.3,0.816228,82.39,7.07,0.0
27,17238.068,0,0,0.0,23.6246,4.75,0.816228,81.59,7.63,0.0
28,17080.934,0,0,0.0,23.5149,5.58,0.816228,80.03,7.9,0.0
29,17140.3115,0,0,0.0,24.3411,6.06,0.816228,80.22,7.54,0.0
30,17326.2275,0,0,0.0,25.8988,5.43,0.816228,81.91,6.73,0.0
31,17178.222,0,0,0.0,25.3365,5.4,0.816228,80.99,7.29,0.0
32,17110.4855,0,0,0.0,24.1821,6.29,0.816228,80.25,7.66,0.0
33,17410.2268,0,0,0.0,26.0958,4.75,0.816228,82.7,6.59,0.0
34,17186.3825,0,0,0.0,25.4637,5.99,0.816228,80.65,7.14,0.0
35,17274.8917,0,0,0.0,26.0675,6.01,0.816228,81.62,6.54,0.0
36,17301.2466,0,0,0.0,25.0828,5.94,0.816228,81.71,7.18,0.0
37,17270.5293,0,0,0.0,24.7767,4.67,0.816228,81.74,7.22,0.0
38,17267.5955,0,0,0.0,24.4181,4.66,0.816228,81.43,7.35,0.0
39,17332.7258,0,0,0.0,28.104,4.48,0.816228,81.95,6.0,0.0
40,17128.5325,0,0,0.0,25.7095,4.95,0.816228,79.98,7.0,0.0
41,17220.932,0,0,0.0,23.8553,4.85,0.816228,81.27,7.61,0.0
42,17262.6395,0,0,0.0,25.5275,4.92,0.816228,81.71,7.06,0.0
43,17197.2449,0,0,0.0,27.8137,6.03,0.816228,80.89,6.02,0.0
44,17178.3237,0,0,0.0,23.7307,5.19,0.816228,80.91,7.8,0.0
45,17268.0388,0,0,0.0,25.0415,5.39,0.816228,81.39,7.08,0.0
46,17255.6351,0,0,0.0,24.4484,6.69,0.816228,81.34,7.54,0.0
47,17235.5291,0,0,0.0,22.6032,5.72,0.816228,81.34,8.09,0.0
48,17235.8772,0,0,0.0,26.8296,4.91,0.816228,81.27,6.46,0.0
49,17202.9263,0,0,0.0,25.3523,6.23,0.816228,81.2,7.17,0.0
