episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,30191.9047,0,0,0.0,30.9612,17.22,0.87,56.29,9.08,0.0
1,30158.7171,0,0,0.0,33.2686,21.42,0.87,55.88,8.2,0.0
2,29982.1461,0,0,0.0,31.6881,22.09,0.87,55.1,8.67,0.0
3,30089.8379,0,0,0.0,31.1112,19.55,0.87,55.48,9.15,0.0
4,29890.2328,0,0,0.0,30.3736,23.3,0.87,54.89,9.29,0.0
5,30296.2946,0,0,0.0,33.4722,19.46,0.87,56.62,8.2,0.0
6,30095.6211,0,0,0.0,33.097,21.79,0.87,55.85,8.34,0.0
7,30139.349,0,0,0.0,32.4851,24.92,0.87,56.06,8.53,0.0
8,30393.1852,0,0,0.0,33.6163,18.53,0.87,56.73,8.0,0.0
9,30289.1072,0,0,0.0,32.4912,20.48,0.87,56.39,8.41,0.0
10,30218.8853,0,0,0.0,29.9658,17.26,0.87,56.07,9.22,0.0
11,30146.7346,0,0,0.0,34.2317,25.62,0.87,56.15,7.79,0.0
12,30226.0828,0,0,0.0,32.6511,19.97,0.87,56.05,8.19,0.0
13,30068.7345,0,0,0.0,31.0537,24.84,0.87,55.45,8.7,0.0
14,30181.9222,0,0,0.0,33.2082,23.08,0.87,56.23,8.28,0.0
15,30142.7127,0,0,0.0,32.6905,18.06,0.87,55.92,8.45,0.0
16,30384.0947,0,0,0.0,32.3901,23.66,0.87,57.61,8.65,0.0
17,30191.3293,0,0,0.0,33.5144,16.0,0.87,55.93,8.04,0.0
18,30091.8026,0,0,0.0,32.2662,24.72,0.87,55.98,8.71,0.0
19,30151.0006,0,0,0.0,32.1913,22.94,0.87,55.95,8.53,0.0
20,30141.1232,0,0,0.0,30.0877,18.07,0.87,55.69,9.21,0.0
21,30073.0637,0,0,0.0,30.1025,18.66,0.87,55.56,9.16,0.0
22,30540.5308,0,0,0.0,33.5307,18.46,0.87,57.56,8.38,0.0
23,30236.7269,0,0,0.0,31.9733,23.99,0.87,56.64,8.66,0.0
24,29958.9157,0,0,0.0,32.8555,25.01,0.87,55.01,8.31,0.0
25,30002.9316,0,0,0.0,33.0991,23.78,0.87,55.49,8.32,0.0
26,30028.2437,0,0,0.0,29.5581,20.95,0.87,55.34,9.56,0.0
27,30274.6198,0,0,0.0,32.8871,17.58,0.87,56.53,8.34,0.0
28,29835.9914,0,0,0.0,29.5296,23.81,0.87,54.73,9.24,0.0
29,30192.0252,0,0,0.0,32.6091,21.8,0.87,56.24,8.62,0.0
30,30179.4463,0,0,0.0,31.8044,24.68,0.87,56.15,8.78,0.0
31,30060.4916,0,0,0.0,31.4848,21.1,0.87,55.67,8.79,0.0
32,30221.7766,0,0,0.0,32.8185,23.4,0.87,56.18,8.64,0.0
33,29940.0288,0,0,0.0,30.3008,18.91,0.87,54.99,9.0,0.0
34,30104.437,0,0,0.0,31.3665,19.97,0.87,55.41,8.98,0.0
35,30211.8815,0,0,0.0,33.4868,21.42,0.87,55.91,8.21,0.0
36,30328.2359,0,0,0.0,33.8969,21.39,0.87,56.88,8.0,0.0
37,30182.0725,0,0,0.0,32.319,25.59,0.87,56.01,8.63,0.0
38,30089.462,0,0,0.0,31.1846,20.59,0.87,55.47,8.68,0.0
39,30025.1586,0,0,0.0,32.9204,22.14,0.87,55.27,8.54,0.0
40,30170.3039,0,0,0.0,32.2031,21.88,0.87,56.21,8.79,0.0
41,30180.0594,0,0,0.0,30.4681,17.9,0.87,56.26,9.1,0.0
42,30500.8014,0,0,0.0,34.3687,22.28,0.87,57.69,8.0,0.0
43,30118.9222,0,0,0.0,31.5972,20.78,0.87,55.74,8.89,0.0
44,30048.5425,0,0,0.0,30.7869,22.08,0.87,55.45,9.15,0.0
45,29966.6409,0,0,0.0,29.3693,26.82,0.87,55.17,9.71,0.0
46,30100.1818,0,0,0.0,32.6111,18.01,0.87,55.43,8.48,0.0
47,30185.1416,0,0,0.0,30.568,15.28,0.87,55.75,9.06,0.0
48,30273.9395,0,0,0.0,33.3652,20.41,0.87,56.43,8.4,0.0
49,30004.63,0,0,0.0,29.1476,22.28,0.87,55.27,9.51,0.0
