episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,7384.598,0.065398,8.3654,0.81,39.6226,28.62,0.941647,64.27,17.83,73.59
1,7738.7868,0.108062,22.8539,0.62,52.1757,33.09,0.918913,68.77,15.86,72.43
2,7863.3805,0.223835,35.4544,0.43,55.8399,24.29,0.972656,71.11,15.43,69.82
3,8086.8902,0.347928,46.0789,0.24,58.5559,15.56,0.963869,74.82,14.02,66.18
4,8001.8302,0.450135,53.8179,0.05,45.4832,15.7,0.963915,73.89,14.45,68.19
5,8185.0441,0.480771,60.0005,0.05,58.5496,13.51,0.919976,76.04,13.23,62.83
6,8163.6611,0.542218,64.4751,0.05,54.8561,16.96,0.921703,76.41,13.61,64.33
7,8178.9256,0.544916,67.6893,0.05,54.3737,11.73,0.951562,76.75,13.6,63.73
8,8226.4023,0.537757,70.7441,0.05,59.2579,10.66,0.956761,77.12,12.7,63.52
9,8285.4409,0.524313,71.4115,0.05,61.6871,12.33,0.91168,77.79,12.58,62.39
10,8155.5362,0.572669,74.1157,0.05,54.9091,8.03,0.942402,76.35,13.63,64.42
11,8180.4151,0.569411,74.9844,0.05,57.4004,12.52,0.94178,76.23,13.2,61.59
12,8206.0716,0.579766,76.5279,0.05,50.6493,14.72,0.915174,76.7,12.91,60.74
13,8305.7607,0.585455,78.4916,0.05,42.1005,11.01,0.926626,78.33,12.64,61.72
14,8252.6967,0.5629,79.6048,0.05,57.3527,10.06,0.952521,77.37,12.28,60.35
15,8250.252,0.547948,80.6601,0.05,52.6089,11.65,0.934928,77.42,12.15,61.1
16,8372.5484,0.499357,81.3622,0.05,54.243,12.32,0.891202,78.63,12.3,59.68
17,8254.4212,0.483459,82.2317,0.05,49.8889,10.54,0.912202,77.37,12.71,59.81
18,8154.1104,0.437014,82.6596,0.05,43.7703,13.47,0.947435,76.08,13.86,61.75
19,8359.7997,0.445502,84.7728,0.05,57.011,7.67,0.945336,79.05,12.28,59.2
20,8250.8349,0.394204,85.958,0.05,49.3413,12.76,0.95808,77.26,12.78,58.78
21,8289.1178,0.380592,86.3296,0.05,50.7829,10.48,0.986813,77.99,12.44,58.89
22,8196.8196,0.328842,86.0406,0.05,47.5536,10.03,0.964194,76.6,12.83,56.96
23,8213.1707,0.336171,87.2592,0.05,50.042,12.29,0.913685,76.52,12.66,59.99
24,8185.5798,0.32291,86.4809,0.05,41.7151,13.06,0.903911,75.73,13.44,54.69
25,8289.8928,0.284888,86.916,0.05,48.6543,14.26,0.922408,77.64,12.44,56.26
26,8123.6641,0.267728,87.3355,0.05,42.2593,13.48,0.890659,74.66,13.3,57.91
27,8231.9109,0.272548,88.4659,0.05,51.7776,16.73,0.93949,76.61,12.53,58.48
28,8221.3179,0.256474,88.4882,0.05,43.4321,13.55,0.89287,76.4,12.8,54.57
29,8178.0319,0.234768,87.8705,0.05,47.6405,12.02,0.903077,75.91,13.31,53.19
30,8372.0374,0.210409,88.742,0.05,48.7236,9.29,0.936266,79.06,12.07,55.23
31,8424.4712,0.208168,87.0524,0.05,56.0854,6.23,0.938201,79.6,11.22,56.33
32,8424.0424,0.192125,86.3222,0.05,55.0772,7.99,0.941844,79.9,11.33,53.67
33,8197.4143,0.167143,86.8609,0.05,42.56,12.18,0.899544,76.07,12.91,55.19
34,8189.3383,0.149674,85.549,0.05,47.7248,16.57,0.939114,75.93,12.43,52.77
35,8317.8808,0.136739,85.2541,0.05,44.4563,9.1,0.892839,77.75,12.66,54.55
36,8218.7668,0.129761,85.1281,0.05,43.9319,14.34,0.930468,76.52,12.99,56.0
37,8114.5181,0.111585,85.008,0.05,41.298,11.22,0.915548,75.27,12.87,53.41
38,8116.6656,0.10607,85.0991,0.05,39.368,14.09,0.913596,74.73,13.64,55.44
39,8241.8791,0.097556,84.75,0.05,46.1489,14.38,0.84024,75.8,12.74,52.03
40,8148.3233,0.092641,84.1289,0.05,44.1229,11.83,0.966892,75.65,13.38,50.54
41,8302.823,0.103558,85.0707,0.05,49.1712,9.79,0.921095,77.8,12.32,53.86
42,8183.026,0.101636,85.1675,0.05,45.6633,14.95,0.953721,76.11,12.79,52.69
43,8339.0033,0.113442,85.0351,0.05,51.9958,12.65,0.903988,77.99,12.17,50.17
44,8240.8538,0.106332,85.7041,0.05,43.891,15.59,0.929194,76.11,12.34,49.84
45,8172.5601,0.098301,84.3456,0.05,44.7014,17.85,0.869224,75.7,13.24,52.14
46,8354.2019,0.093772,83.8876,0.05,51.4754,7.11,0.900072,78.27,12.09,53.35
47,8312.9085,0.096579,83.5702,0.05,48.7724,9.34,0.927059,78.07,11.92,52.75
48,8394.6786,0.10224,83.0617,0.05,57.5862,9.1,0.952855,79.35,11.77,54.15
49,8221.3734,0.098448,84.2989,0.05,45.1512,11.98,0.932477,76.48,12.88,54.24
50,8427.9911,0.109042,85.2659,0.05,54.1387,8.93,0.894104,79.48,11.89,51.21
51,8191.0751,0.101186,85.6041,0.05,44.4805,9.81,0.918359,75.86,12.89,52.8
52,8283.5245,0.102957,85.4715,0.05,47.485,10.9,0.955285,77.91,12.72,53.92
53,8229.1408,0.096546,85.4685,0.05,42.7984,21.06,0.86113,76.12,12.79,52.3
54,8369.737,0.0964,84.1576,0.05,54.1221,8.05,0.901199,78.68,11.92,52.96
55,8165.8853,0.099545,84.9737,0.05,44.8376,10.64,0.923671,75.54,13.07,50.28
56,8232.5409,0.098285,85.2244,0.05,53.3393,17.03,0.941443,76.58,11.94,55.78
57,8253.351,0.090997,85.3637,0.05,45.771,12.4,0.920877,77.0,12.47,51.77
58,8411.6138,0.096681,85.3291,0.05,53.0699,8.13,0.911309,79.25,12.31,53.17
59,8310.2991,0.095452,85.45,0.05,46.7335,11.45,0.938545,77.48,12.0,52.37
60,8277.954,0.097159,86.997,0.05,52.5792,9.18,0.907162,76.82,12.01,51.92
61,8372.0396,0.102001,87.4495,0.05,50.5452,8.54,0.924737,78.99,11.66,54.59
62,8197.2035,0.099882,87.4603,0.05,40.1353,12.54,0.90847,75.95,12.93,52.18
63,8275.8775,0.096368,87.7726,0.05,41.161,9.44,0.888122,77.05,12.33,52.18
64,8250.2958,0.095162,86.716,0.05,49.9612,12.21,0.990852,76.9,11.87,51.67
65,8245.5637,0.084428,84.761,0.05,50.2672,11.16,0.932455,76.02,12.29,51.68
66,8380.6552,0.088124,84.6012,0.05,40.5489,13.9,0.806881,77.93,12.48,48.9
67,8319.6493,0.087956,84.8193,0.05,49.3496,10.77,0.910278,77.37,12.12,49.65
68,8303.9285,0.086744,84.0145,0.05,48.9287,10.77,0.894777,77.72,11.92,51.59
69,8224.7461,0.083257,84.2864,0.05,52.8971,7.97,1.024753,77.07,11.73,51.92
70,8371.9852,0.083974,84.2467,0.05,51.1906,6.12,0.990223,79.42,12.07,50.7
71,8358.214,0.086366,85.1511,0.05,48.7815,10.32,0.86722,78.13,12.41,50.6
